Aduan,Label
tingkat awas uji cegah curang,Kurikulum
sarana bersih sekolah tingkat sampah sudut,Prasarana
ajar matematika serta latih,Kurikulum
siswa ajar kewirausahaan,Kurikulum
jadwal ajar padat siswa lelah evaluasi,Kesiswaan
kurang bimbing konseling siswa milik pribadi,Kesiswaan
papan tulis kali mohon ganti,Prasarana
ekstrakurikuler olahraga fasilitas pada,Prasarana
guru umpan tugas,Kurikulum
giat diskusi kelas siswa aktif,Kurikulum
